"Station Name","CALGARY INTL A"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","51.12"
"Longitude","-114.01"
"Elevation","1099.10"
"Climate Identifier","3031092"
"WMO Identifier","71877"
"TC Identifier","YYC"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-04-15 01:00","2019","04","15","01:00","-2.9","","-7.5","","71","","4","","4","","24.1","","87.80","","","","-4","","NA"
"2019-04-15 02:00","2019","04","15","02:00","-4.0","","-8.0","","74","","36","","2","","24.1","","87.81","","","","-5","","Mainly Clear"
"2019-04-15 03:00","2019","04","15","03:00","-2.7","","-7.0","","72","","21","","5","","24.1","","87.81","","","","-5","","NA"
"2019-04-15 04:00","2019","04","15","04:00","-2.9","","-7.9","","68","","36","","2","","24.1","","87.84","","","","-4","","NA"
"2019-04-15 05:00","2019","04","15","05:00","-2.2","","-8.4","","63","","13","","4","","24.1","","87.87","","","","-4","","Mostly Cloudy"
"2019-04-15 06:00","2019","04","15","06:00","-2.0","","-7.2","","68","","36","","3","","64.4","","87.90","","","","-3","","NA"
"2019-04-15 07:00","2019","04","15","07:00","-1.0","","-6.2","","68","","0","","1","","64.4","","87.94","","","","-1","","NA"
"2019-04-15 08:00","2019","04","15","08:00","1.8","","-6.3","","55","","29","","5","","64.4","","87.96","","","","","","Mostly Cloudy"
"2019-04-15 09:00","2019","04","15","09:00","5.0","","-6.3","","44","","22","","9","","64.4","","87.95","","","","","","NA"
"2019-04-15 10:00","2019","04","15","10:00","6.7","","-9.9","","29","","33","","18","","64.4","","87.94","","","","","","NA"
"2019-04-15 11:00","2019","04","15","11:00","7.5","","-7.9","","33","","36","","13","","64.4","","87.94","","","","","","Mainly Clear"
"2019-04-15 12:00","2019","04","15","12:00","8.7","","-7.0","","32","","1","","12","","64.4","","87.92","","","","","","NA"
"2019-04-15 13:00","2019","04","15","13:00","8.4","","-9.6","","27","","20","","7","","64.4","","87.89","","","","","","NA"
"2019-04-15 14:00","2019","04","15","14:00","7.3","","-7.8","","33","","20","","27","","64.4","","87.90","","","","","","Mostly Cloudy"
"2019-04-15 15:00","2019","04","15","15:00","8.5","","-8.4","","29","","1","","15","","64.4","","87.91","","","","","","NA"
"2019-04-15 16:00","2019","04","15","16:00","8.0","","-8.6","","30","","33","","14","","64.4","","87.95","","","","","","NA"
"2019-04-15 17:00","2019","04","15","17:00","8.0","","-8.3","","31","","30","","5","","64.4","","87.98","","","","","","Cloudy"
"2019-04-15 18:00","2019","04","15","18:00","7.1","","-7.9","","34","","23","","8","","64.4","","88.04","","","","","","NA"
"2019-04-15 19:00","2019","04","15","19:00","7.1","","-8.4","","32","","21","","3","","16.1","","88.04","","","","","","NA"
"2019-04-15 20:00","2019","04","15","20:00","6.3","","-6.8","","39","","23","","9","","16.1","","88.09","","","","","","Mostly Cloudy"
"2019-04-15 21:00","2019","04","15","21:00","5.2","","-6.1","","44","","29","","8","","16.1","","88.17","","","","","","NA"
"2019-04-15 22:00","2019","04","15","22:00","4.2","","-6.1","","47","","24","","6","","24.1","","88.20","","","","","","NA"
"2019-04-15 23:00","2019","04","15","23:00","3.7","","-5.9","","50","","24","","7","","24.1","","88.22","","","","","","Mainly Clear"
"2019-04-16 00:00","2019","04","16","00:00","1.0","","-6.0","","60","","3","","6","","24.1","","88.25","","","","","","NA"
"2019-04-16 01:00","2019","04","16","01:00","0.1","","-5.9","","64","","32","","7","","24.1","","88.29","","","","","","NA"
"2019-04-16 02:00","2019","04","16","02:00","-0.8","","-6.5","","65","","35","","6","","24.1","","88.30","","","","-3","","Mainly Clear"
"2019-04-16 03:00","2019","04","16","03:00","-2.3","","-7.1","","70","","33","","5","","24.1","","88.31","","","","-4","","NA"
"2019-04-16 04:00","2019","04","16","04:00","-3.4","","-7.6","","73","","36","","11","","24.1","","88.33","","","","-8","","NA"
"2019-04-16 05:00","2019","04","16","05:00","-3.2","","-8.0","","70","","35","","7","","48.3","","88.37","","","","-6","","Mainly Clear"
"2019-04-16 06:00","2019","04","16","06:00","-3.5","","-7.9","","72","","28","","3","","64.4","","88.40","","","","-5","","NA"
"2019-04-16 07:00","2019","04","16","07:00","-1.3","","-6.1","","70","","30","","3","","64.4","","88.43","","","","-2","","NA"
"2019-04-16 08:00","2019","04","16","08:00","1.6","","-5.4","","60","","28","","3","","64.4","","88.46","","","","","","Mostly Cloudy"
"2019-04-16 09:00","2019","04","16","09:00","4.9","","-5.5","","47","","25","","4","","64.4","","88.48","","","","","","NA"
"2019-04-16 10:00","2019","04","16","10:00","7.0","","-6.6","","37","","11","","5","","64.4","","88.48","","","","","","NA"
"2019-04-16 11:00","2019","04","16","11:00","8.2","","-6.4","","35","","21","","8","","64.4","","88.47","","","","","","Mostly Cloudy"
"2019-04-16 12:00","2019","04","16","12:00","9.3","","-7.0","","31","","21","","16","","64.4","","88.42","","","","","","NA"
"2019-04-16 13:00","2019","04","16","13:00","9.5","","-9.0","","26","","14","","10","","64.4","","88.37","","","","","","NA"
"2019-04-16 14:00","2019","04","16","14:00","10.8","","-7.2","","27","","17","","9","","64.4","","88.36","","","","","","Mainly Clear"
"2019-04-16 15:00","2019","04","16","15:00","10.0","","-9.1","","25","","35","","5","","64.4","","88.31","","","","","","NA"
"2019-04-16 16:00","2019","04","16","16:00","10.4","","-9.0","","25","","16","","11","","64.4","","88.29","","","","","","NA"
"2019-04-16 17:00","2019","04","16","17:00","11.8","","-8.6","","23","","19","","11","","64.4","","88.28","","","","","","Mostly Cloudy"
"2019-04-16 18:00","2019","04","16","18:00","10.4","","-8.0","","27","","17","","12","","64.4","","88.29","","","","","","NA"
"2019-04-16 19:00","2019","04","16","19:00","9.9","","-11.9","","20","","29","","16","","64.4","","88.31","","","","","","NA"
"2019-04-16 20:00","2019","04","16","20:00","9.0","","-10.9","","23","","29","","17","","32.2","","88.32","","","","","","Mostly Cloudy"
"2019-04-16 21:00","2019","04","16","21:00","8.9","","-11.4","","23","","27","","18","","24.1","","88.35","","","","","","NA"
"2019-04-16 22:00","2019","04","16","22:00","7.2","","-10.5","","27","","24","","5","","24.1","","88.35","","","","","","NA"
"2019-04-16 23:00","2019","04","16","23:00","6.9","","-11.2","","26","","28","","11","","24.1","","88.35","","","","","","Mainly Clear"
"2019-04-17 00:00","2019","04","17","00:00","6.2","","-11.3","","27","","27","","8","","24.1","","88.36","","","","","","NA"
"2019-04-17 01:00","2019","04","17","01:00","4.1","","-10.7","","33","","23","","10","","24.1","","88.37","","","","","","NA"
"2019-04-17 02:00","2019","04","17","02:00","2.8","","-10.0","","39","","36","","2","","24.1","","88.38","","","","","","Mainly Clear"
"2019-04-17 03:00","2019","04","17","03:00","3.1","","-9.6","","39","","23","","5","","24.1","","88.37","","","","","","NA"
"2019-04-17 04:00","2019","04","17","04:00","4.5","","-8.4","","39","","26","","7","","24.1","","88.42","","","","","","NA"
